vehicle_id,trip_id,activity,method,end_lat,end_lon
1,1,Leisure,B_gravity,46.366322369940804,15.180515796075875
1,2,Leisure,B_gravity,46.369766769875156,15.091554442932509
1,3,Shopping,B_gravity,46.35223920247748,15.127560319480796
1,4,Shopping,B_gravity,46.384524470624584,15.111754106011617
2,1,Work,B_gravity_fallback,46.361349832349745,15.103718034996321
2,2,Work,B_gravity_fallback,46.369950379535204,15.130645064273013
2,3,Leisure,B_gravity,46.41306275970261,15.093264049656602
2,4,Leisure,B_gravity,46.35600519340059,15.111536658546411
3,1,Education,B_gravity_fallback,46.36668799570334,15.111026507050742
3,2,Education,B_gravity_fallback,46.36083009083073,15.113603554183806
3,3,Shopping,B_gravity,46.365127,15.1283281
3,4,Shopping,B_gravity,46.3598343,15.1199272
4,1,Work,B_gravity_fallback,46.36899835,15.102259
4,2,Work,B_gravity_fallback,46.36843613303452,15.097790353749604
4,3,Personal,B_gravity,46.37280245,15.1035323
4,4,Personal,B_gravity,46.371629549999994,15.102098349999997
5,1,Personal,B_gravity,46.36282651181234,15.095861649040744
5,2,Personal,B_gravity,46.3766693247242,15.140307762703898
5,3,Personal,B_gravity,46.369345845935044,15.069718485912972
5,4,Personal,B_gravity,46.36821196115716,15.126882854711006
6,1,Personal,B_gravity,46.35247869770208,15.071817205997075
6,2,Personal,B_gravity,46.36274330271269,15.103286652452756
6,3,Shopping,B_gravity,46.370138681793954,15.130871217975406
6,4,Shopping,B_gravity,46.3600462,15.1050486
7,1,Work,B_gravity,46.365828463789015,15.09481752616005
7,2,Work,B_gravity,46.370103229553635,15.138767289427058
7,3,Leisure,B_gravity_fallback,46.36714454866233,15.095255558094463
7,4,Leisure,B_gravity,46.3365865,15.1998094
8,1,Personal,B_gravity,46.381598916640996,15.148038050645312
8,2,Personal,B_gravity,46.357557167078035,15.125903531410017
8,3,Leisure,B_gravity,46.3952948,15.1374481
8,4,Leisure,B_gravity,46.371767882941036,15.093983815496957
9,1,Personal,B_gravity,46.36778157931184,15.079864763798993
9,2,Personal,B_gravity,46.365828463789015,15.09481752616005
9,3,Personal,B_gravity,46.338871796699685,15.195194821115791
9,4,Personal,B_gravity,46.36481409913871,15.097209767557336
10,1,Business,B_gravity,46.36228900175371,15.098708158675922
10,2,Business,B_gravity,46.3662268,15.098350649999999
10,3,Leisure,B_gravity_fallback,46.36022757845386,15.116474750705011
10,4,Leisure,B_gravity_fallback,46.36792433431295,15.125749836502711
11,1,Education,B_gravity_fallback,46.36402070267726,15.126402496881871
