scenarij,TimeStep,celica,pos_zgornja,neg_zgornja,vozila_zgornja,Cas,sredisce_lat,sredisce_lon
50pct,0,10_16,762.7524421386585,187.64755786134154,22,00:00,45.8673,15.44665
50pct,0,10_17,1287.1633172033078,224.8366827966923,35,00:00,45.8673,15.45311
50pct,0,10_18,521.2381340527686,126.76186594723137,15,00:00,45.8673,15.45957
50pct,0,10_19,702.7575127692531,161.24248723074692,20,00:00,45.8673,15.46604
50pct,0,10_22,82.22040861480959,4.179591385190409,2,00:00,45.8673,15.48543
50pct,0,10_23,1426.2860355670482,258.51396443295187,39,00:00,45.8673,15.49189
50pct,0,10_24,631.4623346865885,146.13766531341153,18,00:00,45.8673,15.49836
50pct,0,11_16,2376.7146392766745,474.48536072332547,66,00:00,45.8718,15.44665
50pct,0,11_21,71.61257412935807,14.787425870641933,2,00:00,45.8718,15.47897
50pct,0,12_16,1296.1846213048436,215.81537869515626,35,00:00,45.87631,15.44665
50pct,0,12_17,767.6041607136302,139.59583928636985,21,00:00,45.87631,15.45311
50pct,0,12_20,71.75579412511667,14.644205874883333,2,00:00,45.87631,15.4725
50pct,0,12_21,4523.186123566553,876.8138764334467,125,00:00,45.87631,15.47897
50pct,0,13_16,488.5167903780946,73.08320962190547,13,00:00,45.88081,15.44665
50pct,0,13_17,1645.1628738916415,298.8371261083585,45,00:00,45.88081,15.45311
50pct,0,13_20,535.8033385883713,112.19666141162875,15,00:00,45.88081,15.4725
50pct,0,13_21,1697.023846803139,290.17615319686126,46,00:00,45.88081,15.47897
50pct,0,14_15,467.17655119338986,94.42344880661015,13,00:00,45.88532,15.44018
50pct,0,14_17,474.29955650200077,130.50044349799924,14,00:00,45.88532,15.45311
50pct,0,14_18,106.13167658077197,23.46832341922802,3,00:00,45.88532,15.45957
50pct,0,15_15,495.28819733119826,109.51180266880172,14,00:00,45.88982,15.44018
50pct,0,15_17,1412.9030428797003,315.09695712029975,40,00:00,45.88982,15.45311
50pct,0,15_18,70.95252733879627,15.44747266120373,2,00:00,45.88982,15.45957
50pct,0,16_16,31.38146363747144,11.81853636252856,1,00:00,45.89432,15.44665
50pct,0,16_17,405.75878827519773,69.44121172480226,11,00:00,45.89432,15.45311
50pct,0,16_18,1152.437699994746,229.9623000052539,32,00:00,45.89432,15.45957
50pct,0,16_5,291.96107093936047,53.6389290606395,8,00:00,45.89432,15.37555
50pct,0,16_6,120.34524180664127,9.254758193358722,3,00:00,45.89432,15.38201
50pct,0,17_14,329.13024258702455,59.66975741297544,9,00:00,45.89883,15.43372
50pct,0,17_15,288.1975157354476,57.40248426455241,8,00:00,45.89883,15.44018
50pct,0,17_16,140.77459546963146,32.02540453036855,4,00:00,45.89883,15.44665
50pct,0,17_17,3360.853647434485,699.9463525655148,94,00:00,45.89883,15.45311
50pct,0,17_18,1360.6055561328442,237.79444386715585,37,00:00,45.89883,15.45957
50pct,0,17_19,1272.5089280847874,282.69107191521266,36,00:00,45.89883,15.46604
50pct,0,17_2,321.00977678439307,67.79022321560694,9,00:00,45.89883,15.35616
50pct,0,17_20,1357.2130794486654,284.3869205513347,38,00:00,45.89883,15.4725
50pct,0,17_21,1584.522303325159,316.27769667484074,44,00:00,45.89883,15.47897
50pct,0,17_3,449.36502556179414,69.03497443820586,12,00:00,45.89883,15.36262
50pct,0,17_5,507.6557576484507,97.14424235154932,14,00:00,45.89883,15.37555
50pct,0,17_6,271.18926988517154,74.41073011482847,8,00:00,45.89883,15.38201
50pct,0,18_14,38.99268438004566,4.207315619954341,1,00:00,45.90333,15.43372
