scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
50pct,0,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,00:00
50pct,1,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,00:15
50pct,2,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,00:30
50pct,3,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,00:45
50pct,4,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,01:00
50pct,5,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,01:15
50pct,6,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,01:30
50pct,7,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,01:45
50pct,8,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,02:00
50pct,9,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,02:15
50pct,10,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,02:30
50pct,11,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,02:45
50pct,12,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,03:00
50pct,13,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,03:15
50pct,14,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,03:30
50pct,15,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,03:45
50pct,16,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,04:00
50pct,17,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,04:15
50pct,18,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,04:30
50pct,19,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,04:45
50pct,20,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,05:00
50pct,21,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,05:15
50pct,22,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,05:30
50pct,23,stanovanjsko,301893.8715498586,61029.32845014139,8401,0.0,0.0,0.0,05:45
50pct,24,stanovanjsko,297292.6065410312,60057.79345896881,8272,0.0,0.0,0.0,06:00
50pct,25,delovno_neopredeljeno,37.32720399322051,5.872796006779494,1,37.32720399322051,5.872796006779494,1.0,06:15
50pct,25,drugo_neopredeljeno,235.24049239210365,67.15950760789634,7,0.0,0.0,0.0,06:15
