scenarij,TimeStep,Cas,pos_flex_kWh_zgornja,neg_flex_kWh_zgornja,parkirana_vozila_zgornja,pos_flex_kWh_spodnja,neg_flex_kWh_spodnja,parkirana_vozila_spodnja
06_13pct,0,00:00,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,1,00:15,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,2,00:30,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,3,00:45,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,4,01:00,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,5,01:15,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,6,01:30,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,7,01:45,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,8,02:00,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,9,02:15,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,10,02:30,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,11,02:45,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,12,03:00,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,13,03:15,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,14,03:30,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,15,03:45,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,16,04:00,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,17,04:15,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,18,04:30,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,19,04:45,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,20,05:00,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,21,05:15,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,22,05:30,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,23,05:45,36988.5,7507.5,1030,0.0,0.0,0
06_13pct,24,06:00,36392.0,7369.6,1013,0.0,0.0,0
06_13pct,25,06:15,35858.4,7255.2,998,131.0,41.8,4
06_13pct,26,06:30,35963.6,7322.8,1002,401.8,116.6,12
06_13pct,27,06:45,36020.2,7352.6,1004,615.6,162.0,18
06_13pct,28,07:00,35636.7,7347.3,995,753.1,197.3,22
06_13pct,29,07:15,31742.6,6575.8,887,967.7,241.9,28
06_13pct,30,07:30,30299.5,6420.5,850,1891.3,484.7,55
06_13pct,31,07:45,28510.8,6222.0,804,3638.7,940.5,106
06_13pct,32,08:00,29100.6,6409.8,822,5570.8,1384.4,161
06_13pct,33,08:15,29214.3,6598.5,829,7791.0,1885.8,224
06_13pct,34,08:30,29193.4,6921.8,836,9337.4,2283.4,269
06_13pct,35,08:45,29312.8,7148.0,844,10926.7,2681.3,315
06_13pct,36,09:00,30261.1,7582.1,876,12619.7,3061.9,363
06_13pct,37,09:15,32683.5,8183.7,946,13881.6,3355.2,399
06_13pct,38,09:30,33839.4,8496.6,980,14694.2,3536.2,422
06_13pct,39,09:45,34583.5,8746.1,1003,15010.5,3608.7,431
06_13pct,40,10:00,34817.6,8857.6,1011,15206.9,3671.5,437
06_13pct,41,10:15,34397.5,8802.5,1000,15064.9,3640.7,433
06_13pct,42,10:30,34365.4,8791.4,999,14888.3,3601.3,428
06_13pct,43,10:45,34217.0,8767.0,995,14671.8,3558.6,422
06_13pct,44,11:00,34343.3,8856.7,1000,14613.3,3530.7,420
06_13pct,45,11:15,34280.6,8833.0,998,14562.0,3495.6,418
06_13pct,46,11:30,34354.3,8932.1,1002,14556.0,3501.6,418
06_13pct,47,11:45,34315.5,8970.9,1002,14510.7,3503.7,417
06_13pct,48,12:00,34332.2,8997.4,1003,14394.8,3490.0,414
06_13pct,49,12:15,34441.5,9017.7,1006,14427.0,3501.0,415
06_13pct,50,12:30,34158.0,8955.6,998,14278.8,3476.4,411
06_13pct,51,12:45,34274.0,9098.8,1004,14241.8,3513.4,411
