scenarij,TimeStep,Cas,pos_flex_kWh_zgornja,neg_flex_kWh_zgornja,parkirana_vozila_zgornja,pos_flex_kWh_spodnja,neg_flex_kWh_spodnja,parkirana_vozila_spodnja
10pct,0,00:00,60399.6,12176.4,1680,0.0,0.0,0
10pct,1,00:15,60399.6,12176.4,1680,0.0,0.0,0
10pct,2,00:30,60399.6,12176.4,1680,0.0,0.0,0
10pct,3,00:45,60399.6,12176.4,1680,0.0,0.0,0
10pct,4,01:00,60399.6,12176.4,1680,0.0,0.0,0
10pct,5,01:15,60399.6,12176.4,1680,0.0,0.0,0
10pct,6,01:30,60399.6,12176.4,1680,0.0,0.0,0
10pct,7,01:45,60399.6,12176.4,1680,0.0,0.0,0
10pct,8,02:00,60399.6,12176.4,1680,0.0,0.0,0
10pct,9,02:15,60399.6,12176.4,1680,0.0,0.0,0
10pct,10,02:30,60399.6,12176.4,1680,0.0,0.0,0
10pct,11,02:45,60399.6,12176.4,1680,0.0,0.0,0
10pct,12,03:00,60399.6,12176.4,1680,0.0,0.0,0
10pct,13,03:15,60399.6,12176.4,1680,0.0,0.0,0
10pct,14,03:30,60399.6,12176.4,1680,0.0,0.0,0
10pct,15,03:45,60399.6,12176.4,1680,0.0,0.0,0
10pct,16,04:00,60399.6,12176.4,1680,0.0,0.0,0
10pct,17,04:15,60399.6,12176.4,1680,0.0,0.0,0
10pct,18,04:30,60399.6,12176.4,1680,0.0,0.0,0
10pct,19,04:45,60399.6,12176.4,1680,0.0,0.0,0
10pct,20,05:00,60399.6,12176.4,1680,0.0,0.0,0
10pct,21,05:15,60399.6,12176.4,1680,0.0,0.0,0
10pct,22,05:30,60399.6,12176.4,1680,0.0,0.0,0
10pct,23,05:45,60399.6,12176.4,1680,0.0,0.0,0
10pct,24,06:00,59535.3,11960.7,1655,0.0,0.0,0
10pct,25,06:15,58824.0,11851.2,1636,94.0,35.6,3
10pct,26,06:30,58907.4,11940.6,1640,461.8,143.0,14
10pct,27,06:45,58784.0,11934.4,1637,806.8,230.0,24
10pct,28,07:00,58849.8,11998.2,1640,1294.7,346.9,38
10pct,29,07:15,52006.9,10633.1,1450,1541.7,402.3,45
10pct,30,07:30,49182.0,10218.0,1375,3265.7,795.1,94
10pct,31,07:45,47347.1,10152.1,1331,5800.9,1456.7,168
10pct,32,08:00,47961.5,10747.3,1359,8780.5,2235.5,255
10pct,33,08:15,48214.7,11055.7,1372,11890.9,2969.9,344
10pct,34,08:30,47699.4,11225.4,1364,14210.9,3501.1,410
10pct,35,08:45,47849.8,11550.2,1375,16988.4,4136.4,489
10pct,36,09:00,48606.4,11916.8,1401,19259.9,4672.9,554
10pct,37,09:15,52837.7,13042.3,1525,21743.7,5256.3,625
10pct,38,09:30,55366.2,13926.6,1604,23241.7,5745.5,671
10pct,39,09:45,56086.2,14157.0,1626,23523.3,5852.7,680
10pct,40,10:00,56084.4,14245.2,1628,23614.4,5848.0,682
10pct,41,10:15,55984.5,14215.5,1625,23600.6,5818.6,681
10pct,42,10:30,55773.7,14296.7,1622,23362.7,5754.1,674
10pct,43,10:45,55950.9,14421.9,1629,23161.5,5696.1,668
10pct,44,11:00,56239.4,14608.6,1640,22949.4,5649.0,662
10pct,45,11:15,56320.1,14614.3,1642,22833.6,5635.2,659
10pct,46,11:30,56265.4,14625.8,1641,22749.8,5632.6,657
10pct,47,11:45,56376.8,14687.2,1645,22812.0,5656.8,659
10pct,48,12:00,56502.7,14820.5,1651,22743.4,5682.2,658
10pct,49,12:15,56335.7,14814.7,1647,22650.7,5688.5,656
10pct,50,12:30,56135.9,14841.7,1643,22517.4,5692.2,653
10pct,51,12:45,55975.9,14872.1,1640,22336.1,5657.5,648
10pct,52,13:00,56184.3,14966.1,1647,22438.5,5684.7,651
10pct,53,13:15,56371.6,15081.2,1654,22640.3,5742.1,657
10pct,54,13:30,56036.1,15027.9,1645,22784.2,5771.0,661
10pct,55,13:45,55927.6,15006.8,1642,22881.2,5760.4,663
10pct,56,14:00,55927.9,15049.7,1643,22850.5,5747.9,662
10pct,57,14:15,55246.4,14953.6,1625,22671.6,5710.8,657
10pct,58,14:30,55480.2,15108.6,1634,22285.3,5621.9,646
10pct,59,14:45,55599.8,15205.0,1639,21964.5,5553.9,637
10pct,60,15:00,54824.0,15073.6,1618,21495.0,5418.6,623
10pct,61,15:15,53163.1,14747.3,1572,19934.9,5034.7,578
10pct,62,15:30,52018.7,14552.5,1541,17911.5,4595.7,521
10pct,63,15:45,51785.1,14613.3,1537,16156.7,4104.1,469
10pct,64,16:00,51018.7,14602.1,1519,13831.3,3578.3,403
10pct,65,16:15,50536.0,14609.6,1508,10999.8,2867.4,321
10pct,66,16:30,50396.2,14835.8,1510,8683.3,2246.3,253
10pct,67,16:45,50321.2,14954.0,1511,6404.7,1630.5,186
10pct,68,17:00,50312.3,15049.3,1513,4637.0,1195.0,135
10pct,69,17:15,50533.4,15346.6,1525,3038.2,806.6,89
10pct,70,17:30,50657.2,15611.6,1534,1642.2,474.6,49
10pct,71,17:45,51787.1,16080.1,1571,1241.6,356.8,37
10pct,72,18:00,52758.9,16361.1,1600,864.7,258.5,26
10pct,73,18:15,53476.6,16637.0,1623,661.6,202.4,20
10pct,74,18:30,54094.8,16882.8,1643,552.4,138.8,16
10pct,75,18:45,54073.6,16947.2,1644,518.9,129.1,15
10pct,76,19:00,54033.7,17030.3,1645,449.7,111.9,13
10pct,77,19:15,54042.8,17064.4,1646,321.8,67.0,9
10pct,78,19:30,54075.2,17118.4,1648,256.5,45.9,7
10pct,79,19:45,54419.8,17292.2,1660,256.5,45.9,7
10pct,80,20:00,54529.5,17355.3,1664,256.5,45.9,7
10pct,81,20:15,54625.7,17431.9,1668,180.1,35.9,5
10pct,82,20:30,54565.0,17449.4,1667,106.7,22.9,3
10pct,83,20:45,54483.7,17444.3,1665,66.9,19.5,2
10pct,84,21:00,54397.4,17401.0,1662,66.9,19.5,2
10pct,85,21:15,54469.6,17458.4,1665,27.4,15.8,1
10pct,86,21:30,54698.9,17531.5,1672,27.4,15.8,1
10pct,87,21:45,54787.3,17615.9,1676,27.4,15.8,1
10pct,88,22:00,54824.3,17622.1,1677,27.4,15.8,1
10pct,89,22:15,54712.5,17604.3,1674,27.4,15.8,1
10pct,90,22:30,54747.3,17612.7,1675,0.0,0.0,0
10pct,91,22:45,54858.2,17631.4,1678,0.0,0.0,0
10pct,92,23:00,54884.9,17647.9,1679,0.0,0.0,0
10pct,93,23:15,54913.5,17662.5,1680,0.0,0.0,0
10pct,94,23:30,54875.1,17657.7,1679,0.0,0.0,0
10pct,95,23:45,54912.6,17663.4,1680,0.0,0.0,0
