Latitude (decimal degrees):	45.958
Longitude (decimal degrees):	15.495
Radiation database:	PVGIS-SARAH3

Results for:	June
Slope of plane (deg.):	35
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		Gcs(i)
00:00		0.0		0.0		0.0		0.0
01:00		0.0		0.0		0.0		0.0
02:00		0.0		0.0		0.0		0.0
03:00		0.0		0.0		0.0		38.54
04:00		34.62		0.0		33.9		97.06
05:00		111.85		29.08		79.67		274.05
06:00		256.86		122.26		129.0		479.57
07:00		431.17		255.41		167.41		673.64
08:00		590.0		376.18		203.14		829.34
09:00		715.45		472.09		230.88		929.75
10:00		754.27		482.42		258.87		965.63
11:00		757.36		483.29		261.07		933.95
12:00		711.81		450.02		249.46		837.37
13:00		610.73		365.82		234.06		684.72
14:00		489.85		281.43		199.33		492.38
15:00		358.2		191.07		159.92		286.56
16:00		201.11		84.48		111.89		106.31
17:00		70.96		6.35		62.14		41.28
18:00		20.95		0.0		20.52		0.0
19:00		0.0		0.0		0.0		0.0
20:00		0.0		0.0		0.0		0.0
21:00		0.0		0.0		0.0		0.0
22:00		0.0		0.0		0.0		0.0
23:00		0.0		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
Gcs(i): Global clear-sky irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2026
